MIN Richter Scale,4.08380107851152
MAX Richter Scale,4.897447912864492
Timestamp,Velocity,Richter Scale
2024-06-26T23:18:17.811481,0.2650977168597923,4.423405987410711
2024-06-26T23:18:18.052379,0.4640661799862501,4.666579919247421
2024-06-26T23:18:18.286265,0.560265513355577,4.748393890680451
2024-06-26T23:18:18.558155,0.5656751758990988,4.752567120570721
2024-06-26T23:18:18.799589,0.5156313998310544,4.712339356234002
2024-06-26T23:18:19.035123,0.4386875184346021,4.642155278006286
2024-06-26T23:18:19.306147,0.3521085785524646,4.546676606077322
2024-06-26T23:18:19.539536,0.27102070665084904,4.433002473312259
2024-06-26T23:18:19.773855,0.20364689905237154,4.308877801435535
2024-06-26T23:18:20.035163,0.23917859665407007,4.378722313397789
2024-06-26T23:18:20.309596,0.29737793577212823,4.473308742505068
2024-06-26T23:18:20.549592,0.35059845288134084,4.5448099953100325
2024-06-26T23:18:20.783379,0.39708033588187247,4.598878380568166
2024-06-26T23:18:21.055154,0.43944310200107234,4.642902651681411
2024-06-26T23:18:21.289158,0.4762222116308917,4.67780964760764
2024-06-26T23:18:21.522811,0.5089635696988053,4.706686697768979
2024-06-26T23:18:21.784308,0.5308775293125091,4.724994343155974
2024-06-26T23:18:22.056972,0.5397378486595573,4.732182873665821
2024-06-26T23:18:22.290565,0.5455753428293747,4.736854734238008
2024-06-26T23:18:22.523789,0.5482849528505973,4.739006327255677
2024-06-26T23:18:22.784398,0.5492898118433127,4.7398015438579435
2024-06-26T23:18:23.019562,0.5485329270408504,4.7392027022898375
2024-06-26T23:18:23.279380,0.5470862389359714,4.73805579094392
2024-06-26T23:18:23.554403,0.5444943509421873,4.73599337836661
2024-06-26T23:18:23.784972,0.5416923977243842,4.733752740609322
2024-06-26T23:18:24.019758,0.5382832938012533,4.731010901230293
2024-06-26T23:18:24.281566,0.5349743624855584,4.7283329698757335
2024-06-26T23:18:24.514000,0.531316195306071,4.725353054051769
2024-06-26T23:18:24.776932,0.5279064779446017,4.722556991264708
2024-06-26T23:18:25.038641,0.5243386803116221,4.71961189667284
